Female,Number recovered,Country,Male,Number of cases currently hospitalised,Case fatality ratio (%),Number of deaths,Date of last report,Date for which cumulative number of cases is current,Number of new cases since last WHO update,Local transmission,Date onset first probable case,Cumulative number of cases,report date,Number of imported cases,percentage of imported cases,Number of HCW affected,percentage of HCW affected,median age,minimum age,maximum age
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-06-03,,,,,,,
,0.0,Russian Federation,,,,0.0,2003-05-31,2003-05-31,0.0,,,1.0,2003-06-03,,,,,,,
,165.0,Singapore,,,,31.0,2003-05-18,2003-05-31,0.0,,,206.0,2003-06-03,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-06-03,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-05-07,0.0,,,1.0,2003-06-03,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-06-03,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-06-03,,,,,,,
,6.0,Thailand,,,,2.0,2003-05-13,2003-06-02,0.0,,,8.0,2003-06-03,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-06-03,0.0,,,4.0,2003-06-03,,,,,,,
,33.0,United States,,,,0.0,2003-06-02,2003-06-02,2.0,,,68.0,2003-06-03,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-14,0.0,,,63.0,2003-06-03,,,,,,,
,5475.0,Total,,,,772.0,,,22.0,,,8398.0,2003-06-03,,,,,,,
,5.0,Australia,,,,0.0,2003-05-12,2003-06-04,0.0,,,5.0,2003-06-04,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-06-04,,,,,,,
,121.0,Canada,,,,31.0,2003-06-03,2003-06-03,5.0,,,216.0,2003-06-04,,,,,,,
,3674.0,China,,,,334.0,2003-06-03,2003-06-04,0.0,,,5329.0,2003-06-04,,,,,,,
,1339.0,Hong Kong,,,,283.0,2003-06-04,2003-06-04,1.0,,,1748.0,2003-06-04,,,,,,,
,1.0,Macao,,,,0.0,2003-05-21,2003-06-03,0.0,,,1.0,2003-06-04,,,,,,,
,272.0,Taiwan,,,,81.0,2003-06-04,2003-06-04,2.0,,,678.0,2003-06-04,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-06-04,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-06-04,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-06-04,,,,,,,
,9.0,Germany,,,,0.0,2003-06-04,2003-06-04,1.0,,,10.0,2003-06-04,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-06-04,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-06-04,0.0,,,2.0,2003-06-04,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-06-03,0.0,,,9.0,2003-06-04,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-06-04,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-06-04,0.0,,,5.0,2003-06-04,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-06-02,0.0,,,9.0,2003-06-04,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-06-04,0.0,,,1.0,2003-06-04,,,,,,,
,10.0,Philippines,,,,2.0,2003-05-15,2003-06-04,0.0,,,12.0,2003-06-04,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-23,0.0,,,1.0,2003-06-04,,,,,,,
,3.0,Republic of Korea,,,,0.0,2003-05-14,2003-06-04,0.0,,,3.0,2003-06-04,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-06-04,,,,,,,
,0.0,Russian Federation,,,,0.0,2003-05-31,2003-05-31,0.0,,,1.0,2003-06-04,,,,,,,
,165.0,Singapore,,,,31.0,2003-05-18,2003-05-31,0.0,,,206.0,2003-06-04,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-06-04,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-05-07,0.0,,,1.0,2003-06-04,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-06-04,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-06-04,,,,,,,
,6.0,Thailand,,,,2.0,2003-05-13,2003-06-03,0.0,,,8.0,2003-06-04,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-06-04,0.0,,,4.0,2003-06-04,,,,,,,
,34.0,United States,,,,0.0,2003-06-03,2003-06-03,1.0,,,69.0,2003-06-04,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-14,0.0,,,63.0,2003-06-04,,,,,,,
,5746.0,Total,,,,772.0,,,10.0,,,8402.0,2003-06-04,,,,,,,
,5.0,Australia,,,,0.0,2003-05-12,2003-06-05,0.0,,,5.0,2003-06-05,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-06-05,,,,,,,
,120.0,Canada,,,,31.0,2003-06-04,2003-06-04,5.0,,,218.0,2003-06-05,,,,,,,
,3770.0,China,,,,336.0,2003-06-03,2003-06-05,0.0,,,5329.0,2003-06-05,,,,,,,
,1343.0,Hong Kong,,,,284.0,2003-06-04,2003-06-05,0.0,,,1748.0,2003-06-05,,,,,,,
,1.0,Macao,,,,0.0,2003-05-21,2003-06-03,0.0,,,1.0,2003-06-05,,,,,,,
,257.0,Taiwan,,,,81.0,2003-06-05,2003-06-05,1.0,,,677.0,2003-06-05,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-06-05,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-06-05,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-06-05,,,,,,,
,9.0,Germany,,,,0.0,2003-06-04,2003-06-05,0.0,,,10.0,2003-06-05,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-06-05,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-06-05,0.0,,,2.0,2003-06-05,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-06-05,0.0,,,9.0,2003-06-05,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-06-05,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-06-04,0.0,,,5.0,2003-06-05,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-06-02,0.0,,,9.0,2003-06-05,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-06-05,0.0,,,1.0,2003-06-05,,,,,,,
,10.0,Philippines,,,,2.0,2003-05-15,2003-06-05,0.0,,,12.0,2003-06-05,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-23,0.0,,,1.0,2003-06-05,,,,,,,
,3.0,Republic of Korea,,,,0.0,2003-05-14,2003-06-05,0.0,,,3.0,2003-06-05,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-06-05,,,,,,,
,0.0,Russian Federation,,,,0.0,2003-05-31,2003-05-31,0.0,,,1.0,2003-06-05,,,,,,,
,165.0,Singapore,,,,31.0,2003-05-18,2003-05-31,0.0,,,206.0,2003-06-05,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-06-05,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-06-05,0.0,,,1.0,2003-06-05,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-06-05,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-06-05,,,,,,,
,6.0,Thailand,,,,2.0,2003-05-13,2003-06-04,0.0,,,8.0,2003-06-05,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-06-04,0.0,,,4.0,2003-06-05,,,,,,,
,34.0,United States,,,,0.0,2003-06-03,2003-06-03,0.0,,,69.0,2003-06-05,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-14,0.0,,,63.0,2003-06-05,,,,,,,
,5830.0,Total,,,,775.0,,,6.0,,,8403.0,2003-06-05,,,,,,,
,5.0,Australia,,,,0.0,2003-05-12,2003-06-05,0.0,,,5.0,2003-06-06,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-06-06,,,,,,,
,120.0,Canada,,,,31.0,2003-06-05,2003-06-05,4.0,,,219.0,2003-06-06,,,,,,,
,3869.0,China,,,,338.0,2003-06-03,2003-06-06,0.0,,,5329.0,2003-06-06,,,,,,,
,1350.0,Hong Kong,,,,286.0,2003-06-06,2003-06-06,2.0,,,1750.0,2003-06-06,,,,,,,
,1.0,Macao,,,,0.0,2003-05-21,2003-06-03,0.0,,,1.0,2003-06-06,,,,,,,
,257.0,Taiwan,,,,81.0,2003-06-06,2003-06-06,1.0,,,676.0,2003-06-06,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-06-06,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-06-06,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-06-06,,,,,,,
,9.0,Germany,,,,0.0,2003-06-04,2003-06-06,0.0,,,10.0,2003-06-06,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-06-06,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-06-05,0.0,,,2.0,2003-06-06,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-06-06,0.0,,,9.0,2003-06-06,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-06-06,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-06-04,0.0,,,5.0,2003-06-06,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-06-02,0.0,,,9.0,2003-06-06,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-06-06,0.0,,,1.0,2003-06-06,,,,,,,
,10.0,Philippines,,,,2.0,2003-05-15,2003-06-06,0.0,,,12.0,2003-06-06,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-23,0.0,,,1.0,2003-06-06,,,,,,,
,3.0,Republic of Korea,,,,0.0,2003-05-14,2003-06-05,0.0,,,3.0,2003-06-06,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-06-06,,,,,,,
,0.0,Russian Federation,,,,0.0,2003-05-31,2003-05-31,0.0,,,1.0,2003-06-06,,,,,,,
,165.0,Singapore,,,,31.0,2003-05-18,2003-05-31,0.0,,,206.0,2003-06-06,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-06-06,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-06-05,0.0,,,1.0,2003-06-06,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-06-06,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-06-06,,,,,,,
,6.0,Thailand,,,,2.0,2003-05-13,2003-06-05,0.0,,,8.0,2003-06-06,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-06-06,0.0,,,4.0,2003-06-06,,,,,,,
,35.0,United States,,,,0.0,2003-06-05,2003-06-05,1.0,,,68.0,2003-06-06,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-14,0.0,,,63.0,2003-06-06,,,,,,,
,5937.0,Total,,,,779.0,,,8.0,,,8404.0,2003-06-06,,,,,,,
,5.0,Australia,,,,0.0,2003-05-12,2003-06-05,0.0,,,5.0,2003-06-09,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-06-09,,,,,,,
,128.0,Canada,,,,32.0,2003-06-08,2003-06-08,11.0,,,229.0,2003-06-09,,,,,,,
,4186.0,China,,,,340.0,2003-06-07,2003-06-09,1.0,,,5328.0,2003-06-09,,,,,,,
,1365.0,Hong Kong,,,,288.0,2003-06-09,2003-06-09,3.0,,,1753.0,2003-06-09,,,,,,,
,1.0,Macao,,,,0.0,2003-05-21,2003-06-03,0.0,,,1.0,2003-06-09,,,,,,,
,257.0,Taiwan,,,,81.0,2003-06-09,2003-06-09,4.0,,,680.0,2003-06-09,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-06-09,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-06-09,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-06-09,,,,,,,
,9.0,Germany,,,,0.0,2003-06-04,2003-06-06,0.0,,,10.0,2003-06-09,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-06-09,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-06-09,0.0,,,2.0,2003-06-09,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-06-09,0.0,,,9.0,2003-06-09,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-06-09,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-06-06,0.0,,,5.0,2003-06-09,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-06-02,0.0,,,9.0,2003-06-09,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-06-06,0.0,,,1.0,2003-06-09,,,,,,,
,10.0,Philippines,,,,2.0,2003-05-15,2003-06-06,0.0,,,12.0,2003-06-09,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-23,0.0,,,1.0,2003-06-09,,,,,,,
,3.0,Republic of Korea,,,,0.0,2003-05-14,2003-06-09,0.0,,,3.0,2003-06-09,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-06-09,,,,,,,
,0.0,Russian Federation,,,,0.0,2003-05-31,2003-05-31,0.0,,,1.0,2003-06-09,,,,,,,
,168.0,Singapore,,,,31.0,2003-05-18,2003-06-08,0.0,,,206.0,2003-06-09,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-06-09,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-06-05,0.0,,,1.0,2003-06-09,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-06-09,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-06-09,,,,,,,
,6.0,Thailand,,,,2.0,2003-06-07,2003-06-09,1.0,,,9.0,2003-06-09,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-06-09,0.0,,,4.0,2003-06-09,,,,,,,
,35.0,United States,,,,0.0,2003-06-06,2003-06-06,1.0,,,68.0,2003-06-09,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-06-07,0.0,,,63.0,2003-06-09,,,,,,,
,6280.0,Total,,,,784.0,,,21.0,,,8421.0,2003-06-09,,,,,,,
,5.0,Australia,,,,0.0,2003-05-12,2003-06-05,0.0,,,5.0,2003-06-10,,,,,,,
,2.0,Brazil,,,,0.0,2003-06-09,2003-06-09,1.0,,,3.0,2003-06-10,,,,,,,
,131.0,Canada,,,,32.0,2003-06-08,2003-06-09,0.0,,,229.0,2003-06-10,,,,,,,
,4294.0,China,,,,343.0,2003-06-07,2003-06-10,0.0,,,5328.0,2003-06-10,,,,,,,
,1368.0,Hong Kong,,,,290.0,2003-06-10,2003-06-10,1.0,,,1754.0,2003-06-10,,,,,,,
,1.0,Macao,,,,0.0,2003-05-21,2003-06-03,0.0,,,1.0,2003-06-10,,,,,,,
,319.0,Taiwan,,,,81.0,2003-06-10,2003-06-10,6.0,,,686.0,2003-06-10,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-06-10,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-06-10,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-06-10,,,,,,,
,9.0,Germany,,,,0.0,2003-06-04,2003-06-10,0.0,,,10.0,2003-06-10,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-06-10,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-06-10,0.0,,,2.0,2003-06-10,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-06-10,0.0,,,9.0,2003-06-10,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-06-10,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-06-09,0.0,,,5.0,2003-06-10,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-06-02,0.0,,,9.0,2003-06-10,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-06-10,0.0,,,1.0,2003-06-10,,,,,,,
,10.0,Philippines,,,,2.0,2003-05-15,2003-06-06,0.0,,,12.0,2003-06-10,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-23,0.0,,,1.0,2003-06-10,,,,,,,
,3.0,Republic of Korea,,,,0.0,2003-05-14,2003-06-10,0.0,,,3.0,2003-06-10,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-06-10,,,,,,,
,0.0,Russian Federation,,,,0.0,2003-05-31,2003-05-31,0.0,,,1.0,2003-06-10,,,,,,,
,168.0,Singapore,,,,31.0,2003-05-18,2003-06-10,0.0,,,206.0,2003-06-10,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-06-10,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-06-05,0.0,,,1.0,2003-06-10,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-06-10,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-06-10,,,,,,,
,6.0,Thailand,,,,2.0,2003-06-07,2003-06-10,0.0,,,9.0,2003-06-10,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-06-10,0.0,,,4.0,2003-06-10,,,,,,,
,36.0,United States,,,,0.0,2003-06-09,2003-06-09,1.0,,,69.0,2003-06-10,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-06-07,0.0,,,63.0,2003-06-10,,,,,,,
,6457.0,Total,,,,789.0,,,9.0,,,8430.0,2003-06-10,,,,,,,
,5.0,Australia,,,,0.0,2003-05-12,2003-06-05,0.0,,,5.0,2003-06-11,,,,,,,
,2.0,Brazil,,,,0.0,2003-06-09,2003-06-09,0.0,,,3.0,2003-06-11,,,,,,,
,134.0,Canada,,,,32.0,2003-06-10,2003-06-10,1.0,,,230.0,2003-06-11,,,,,,,
,4390.0,China,,,,343.0,2003-06-11,2003-06-11,1.0,,,5329.0,2003-06-11,,,,,,,
,1368.0,Hong Kong,,,,290.0,2003-06-10,2003-06-10,0.0,,,1754.0,2003-06-11,,,,,,,
,1.0,Macao,,,,0.0,2003-05-21,2003-06-03,0.0,,,1.0,2003-06-11,,,,,,,
,344.0,Taiwan,,,,81.0,2003-06-11,2003-06-11,1.0,,,687.0,2003-06-11,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-06-11,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-06-11,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-06-11,,,,,,,
,9.0,Germany,,,,0.0,2003-06-04,2003-06-11,0.0,,,10.0,2003-06-11,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-06-11,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-06-11,0.0,,,2.0,2003-06-11,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-06-10,0.0,,,9.0,2003-06-11,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-06-11,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-06-09,0.0,,,5.0,2003-06-11,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-06-02,0.0,,,9.0,2003-06-11,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-06-11,0.0,,,1.0,2003-06-11,,,,,,,
,10.0,Philippines,,,,2.0,2003-05-15,2003-06-06,0.0,,,12.0,2003-06-11,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-23,0.0,,,1.0,2003-06-11,,,,,,,
,3.0,Republic of Korea,,,,0.0,2003-05-14,2003-06-11,0.0,,,3.0,2003-06-11,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-06-11,,,,,,,
,0.0,Russian Federation,,,,0.0,2003-05-31,2003-05-31,0.0,,,1.0,2003-06-11,,,,,,,
,168.0,Singapore,,,,31.0,2003-05-18,2003-06-10,0.0,,,206.0,2003-06-11,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-06-11,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-06-05,0.0,,,1.0,2003-06-11,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-06-11,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-06-11,,,,,,,
,6.0,Thailand,,,,2.0,2003-06-07,2003-06-10,0.0,,,9.0,2003-06-11,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-06-11,0.0,,,4.0,2003-06-11,,,,,,,
,36.0,United States,,,,0.0,2003-06-10,2003-06-10,4.0,,,71.0,2003-06-11,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-06-07,0.0,,,63.0,2003-06-11,,,,,,,
,6581.0,Total,,,,789.0,,,7.0,,,8435.0,2003-06-11,,,,,,,
,5.0,Australia,,,,0.0,2003-05-12,2003-06-05,0.0,,,5.0,2003-06-12,,,,,,,
,2.0,Brazil,,,,0.0,2003-06-09,2003-06-09,0.0,,,3.0,2003-06-12,,,,,,,
,141.0,Canada,,,,32.0,2003-06-11,2003-06-11,8.0,,,238.0,2003-06-12,,,,,,,
,4457.0,China,,,,343.0,2003-06-11,2003-06-12,0.0,,,5328.0,2003-06-12,,,,,,,
,1377.0,Hong Kong,,,,291.0,2003-06-11,2003-06-12,1.0,,,1755.0,2003-06-12,,,,,,,
,1.0,Macao,,,,0.0,2003-05-21,2003-06-12,0.0,,,1.0,2003-06-12,,,,,,,
,347.0,Taiwan,,,,81.0,2003-06-12,2003-06-12,2.0,,,688.0,2003-06-12,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-06-12,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-06-12,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-06-12,,,,,,,
,9.0,Germany,,,,0.0,2003-06-04,2003-06-12,0.0,,,10.0,2003-06-12,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-06-12,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-06-11,0.0,,,2.0,2003-06-12,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-06-10,0.0,,,9.0,2003-06-12,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-06-12,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-06-09,0.0,,,5.0,2003-06-12,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-06-02,0.0,,,9.0,2003-06-12,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-06-12,0.0,,,1.0,2003-06-12,,,,,,,
,12.0,Philippines,,,,2.0,2003-05-15,2003-06-12,2.0,,,14.0,2003-06-12,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-06-12,0.0,,,1.0,2003-06-12,,,,,,,
,3.0,Republic of Korea,,,,0.0,2003-05-14,2003-06-12,0.0,,,3.0,2003-06-12,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-06-12,,,,,,,
,0.0,Russian Federation,,,,0.0,2003-05-31,2003-05-31,0.0,,,1.0,2003-06-12,,,,,,,
,169.0,Singapore,,,,31.0,2003-05-18,2003-06-11,0.0,,,206.0,2003-06-12,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-06-12,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-06-05,0.0,,,1.0,2003-06-12,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-06-12,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-06-12,,,,,,,
,6.0,Thailand,,,,2.0,2003-06-07,2003-06-11,0.0,,,9.0,2003-06-12,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-06-12,0.0,,,4.0,2003-06-12,,,,,,,
,36.0,United States,,,,0.0,2003-06-10,2003-06-11,0.0,,,70.0,2003-06-12,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-06-07,0.0,,,63.0,2003-06-12,,,,,,,
,6670.0,Total,,,,790.0,,,13.0,,,8445.0,2003-06-12,,,,,,,
,5.0,Australia,,,,0.0,2003-05-12,2003-06-13,0.0,,,5.0,2003-06-13,,,,,,,
,2.0,Brazil,,,,0.0,2003-06-09,2003-06-09,0.0,,,3.0,2003-06-13,,,,,,,
,150.0,Canada,,,,32.0,2003-06-12,2003-06-12,4.0,,,242.0,2003-06-13,,,,,,,
,4530.0,China,,,,343.0,2003-06-11,2003-06-13,0.0,,,5327.0,2003-06-13,,,,,,,
,1380.0,Hong Kong,,,,293.0,2003-06-11,2003-06-13,0.0,,,1755.0,2003-06-13,,,,,,,
,1.0,Macao,,,,0.0,2003-05-21,2003-06-12,0.0,,,1.0,2003-06-13,,,,,,,
,385.0,Taiwan,,,,81.0,2003-06-13,2003-06-13,5.0,,,693.0,2003-06-13,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-06-13,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-06-13,,,,,,,
